id,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms
0nqt0LfiOiVMAcoQ,1ZTdrHAfVVoij7fe3iFozS,39.0,2006,0.478,0.961,10.0,0.0,0.768,131.096,279320
0RtweAx2UHLd5Bwr,66gG8RzSA2sVQwME8e43wX,55.0,1993,0.523,0.762,4.0,1.0,0.8809999999999999,128.064,205733
0tGyfM8g4zni2Fpw,0ehVk4Py6iyLpfruxVYq4S,38.0,1981,0.531,0.45,10.0,0.0,0.249,107.946,192560
1lp3AkKObSaXUQj2,2746pcTPaE9FBHkvUivCsg,49.0,2013,0.612,0.659,10.0,0.0,0.254,144.904,217120
1NqEMzdMVUt7GvP3,0hgEsoAu23ap8V5GFX9Y3i,45.0,2003,0.752,0.544,9.0,1.0,0.723,115.803,219267
22rb4j2448ogW4fq,4aWoFKRRXxVQUGZquHPS2o,33.0,2009,0.584,0.952,1.0,1.0,0.594,154.964,197533
2mOa5wioEC7ThJyY,1wJCpDiJeQccXuNguS8umH,40.0,2016,0.611,0.841,2.0,1.0,0.286,134.034,251712
3EehSZTQqr6fUNWm,2v4TT618J9TLe6hmLwUTXj,46.0,2017,0.544,0.498,11.0,0.0,0.173,110.0,226000
3FsnGzrD9FvvUsxm,5BoYM9RRXaXr3ZyaLR0KLR,19.0,2011,0.6409999999999999,0.398,6.0,0.0,0.359,80.625,307493
6mpDCmzOfVo4Ad1c,12wB4syL3O9w54bpe1tmZX,43.0,1972,0.782,0.629,9.0,1.0,0.794,132.026,223347
6mwOzs6NiRLAStB8,0x2k5tosNNyGDWZpCcGmWQ,29.0,1982,0.45,0.6629999999999999,0.0,1.0,0.417,186.016,316800
8VNONiezek4gzvqq,6Wq5Ftfz71WV5PoGbvlzLt,16.0,1981,0.422,0.7859999999999999,6.0,0.0,0.43,143.678,158240
aAEYZcocyuXhpQvi,08J88Yor2moFkXFaRp1e07,27.0,2013,0.325,0.723,0.0,1.0,0.1669999999999999,97.105,277539
ahel3LyBN072Xsyg,0GYTAipuswOBWFtk06kFCL,45.0,1997,0.482,0.946,9.0,1.0,0.867,115.883,198093
C7JjG3WEiJPd1YMx,7eFZV8iWbUtfkj6QpI1wVp,32.0,2000,0.321,0.924,0.0,1.0,0.321,191.319,372773
CNDUwm7I5Yx68nvd,2gY3Z3f1Qe4vWnw15dBkSw,53.0,2006,0.336,0.986,2.0,0.0,0.163,159.934,211893
d3XJODyFgcy3ZPiY,4wtR6HB3XekEengMX17cpc,64.0,1996,0.604,0.755,0.0,1.0,0.388,137.064,243267
dAs88rrxQrn82Hxw,0Ky98GMSlZQdctbAhU3I0Z,50.0,2008,0.664,0.6809999999999999,7.0,1.0,0.604,97.501,193000
DQti7Wb8ru3bErme,0hACDgEDhKuQlv2ZhVbAIt,34.0,1995,0.491,0.547,0.0,0.0,0.174,137.94799999999998,294800
EipOFmJxrPhfeDdp,7rRvH22GRxGvsz1d2AnRXM,39.0,1991,0.5820000000000001,0.211,11.0,1.0,0.316,80.601,206307
F5E33YTAlHeJXeMd,3tI8f2ZRxJ7QL38nRO1lP6,36.0,1986,0.5770000000000001,0.8320000000000001,8.0,1.0,0.414,95.187,198267
FcX8oBDKh9IPOkF7,11DKtnRCxXWKRy4elxp3Hb,1.0,2000,0.375,0.0932,0.0,0.0,0.177,136.547,273000
fQbm65nkJ2lNTFlI,6JrHK494fKTg8X0PfOfA0l,47.0,2015,0.364,0.955,5.0,1.0,0.469,165.998,219894
fqvEgwapRUre9ldH,1QYZ5D5pNSRm0Bo7B3Yhv8,48.0,2010,0.612,0.605,5.0,1.0,0.201,94.964,239027
gkQkKDiC5ZHGFBt4,6sLLktVGKIXXGxvJ0pmhOw,24.0,1993,0.358,0.867,10.0,1.0,0.197,156.091,326533
GLHpznqlcD1XBs9E,6YwYfxEFDUZZ1xX5vlBYmF,46.0,2015,0.627,0.861,1.0,1.0,0.623,122.133,153267
hdhhDy1P29HzobOe,32PqSVdQIKrvv4BWeMA5YK,0.0,2013,0.495,0.4320000000000001,4.0,1.0,0.154,148.283,230733
hgz3dkw5j3psgdfJ,6LqbJXriVJyqJCd9jYoPqP,34.0,1972,0.509,0.974,2.0,1.0,0.8,120.124,153173
hGZfcGY9gbCdbIdI,4WeaEJVHWoVHpQgw6XqCLX,34.0,1995,0.7559999999999999,0.418,9.0,0.0,0.919,165.56900000000005,219440
IObi4LSXhEJZL8ri,7cuYKlkBNj5Y9KKRKK9u26,16.0,2009,0.217,0.99,11.0,0.0,0.128,145.174,217013
IOUaRRjBVS8dwi8s,47EWWP1lZ56gJKxXwHB63I,8.0,2000,0.672,0.889,11.0,0.0,0.809,128.001,501587
irAWx7njLUWG2eHn,3i8NC51ML9w6jVN9nZPJ4N,16.0,2011,0.529,0.902,0.0,1.0,0.562,131.968,249827
j3nlQ8kestuTIl9t,6kSl8oiQ0Nc6sewrT6tynz,14.0,1968,0.5329999999999999,0.858,0.0,1.0,0.934,138.599,279533
KHgS7Ym5kkc1IIGJ,5Uetq3uDaEm23tRp2tKFPz,22.0,2009,0.527,0.6409999999999999,10.0,1.0,0.349,76.507,249104
KSxria3rBAQcYBIt,0UOxp1BpnD8uPQMKU4wKjz,61.0,1974,0.74,0.638,7.0,1.0,0.647,94.417,263747
LHYagWA6Waove2hS,0M0QH0qRr27CeWiuBSP2YF,27.0,2010,0.224,0.541,0.0,1.0,0.0934,127.011,372107
m8TsJOxqVAKuGZvL,5uevtVL66wlQDt8kicbsnW,45.0,2016,0.317,0.914,1.0,0.0,0.217,180.218,113333
MIVSmMzw5pgZXoSR,7iXP6euYfDfeiD36vQlfnn,41.0,2012,0.3670000000000001,0.77,8.0,1.0,0.316,93.05,294747
N35KgpgRd3sYUcXw,6iUlUzSGZzKtlCvQ3wCVZD,51.0,1997,0.7170000000000001,0.4320000000000001,6.0,0.0,0.319,135.874,283573
nmXGlqePXN4JubnX,29qwFXlhJV1A0souoJWKd7,21.0,2018,0.506,0.88,9.0,1.0,0.736,139.912,170133
NYZLS92syeBKhrNr,6QFjg371WnvjbBVCK1QBJ1,47.0,2008,0.597,0.852,0.0,1.0,0.5589999999999999,105.996,278493
p1VP0vVJmgPUIrqH,33B2QbtAj8mbDpwvGTOnBt,54.0,2017,0.774,0.7090000000000001,8.0,1.0,0.565,119.982,250000
R7q7HEMxDWzyqu5Q,2ksClgwWIuH6Vlg88RLhjd,17.0,2009,0.725,0.768,0.0,1.0,0.644,103.01,216293
rK5ZdC4afvNd7kLz,4DBwesFzq0SUg65YwpPtDX,23.0,2017,0.9,0.4270000000000001,9.0,1.0,0.491,130.205,138501
sBc3WEwdmXfiPiu9,7wQVIel0NfQK9IMO7tDEN8,42.0,2015,0.419,0.186,4.0,1.0,0.133,78.75399999999998,304730
Sw0ZQeH0uTPGtsoH,472vi5RE3rBOQlB3TVAn4O,33.0,2016,0.366,0.846,1.0,0.0,0.6679999999999999,113.915,296667
t5EoCtTxvbxHruxM,5hfLnpsQq1wdbxH3PepzeM,30.0,2016,0.6970000000000001,0.936,9.0,1.0,0.57,160.032,145400
TrHWNXvlKVbm9jBs,038kbjpRLpRuuR6ulT98KP,20.0,2016,0.43,0.992,5.0,0.0,0.332,165.015,250147
TtUhb0mucHEbKZ8f,5KuYuR2EGodCn83PRCkFUq,46.0,2018,0.691,0.423,6.0,0.0,0.319,82.05799999999998,225840
U1nziZv9qUZS3jOZ,6ofryJf7O4cdAHKIQMyfhf,48.0,2019,0.654,0.8270000000000001,5.0,1.0,0.433,129.982,205281
UCbm14L6ORpEMt7B,4q0CeoDsBdFYCDDj3a6Jej,45.0,2017,0.741,0.072,3.0,1.0,0.297,139.089,143080
UJj71KVEwKdqGsYr,5znrnIpadxb5MLvm3HjdOg,51.0,2019,0.723,0.863,11.0,0.0,0.773,147.059,186133
vB5ycbCh6rhxd0zZ,4Aa71RVQ2uy6CEKpSxPzMq,36.0,2006,0.2,0.0998,9.0,0.0,0.113,71.02,131800
Vdkz2WQ7xcqS7l7w,722tgOgdIbNe3BEyLnejw4,71.0,2013,0.775,0.823,1.0,1.0,0.273,130.041,188013
vGrIgQA8nbuWlVYs,6qRmb4uhIUaWE5LySgSfQS,40.0,2007,0.5820000000000001,0.391,4.0,0.0,0.529,103.181,137360
VnPE0O14G2OI5jIH,6Ahkb2k6BwLQbkQQf9yx8J,43.0,2008,0.555,0.8809999999999999,7.0,0.0,0.6629999999999999,91.883,223920
Vvleil2VGhGL4Nke,1qpdTHfmiUgYRjNSI4kr7x,29.0,2016,0.292,0.718,2.0,1.0,0.485,104.831,242240
w3Bg3iP0fgb7fvfT,5Y6nVaayzitvsD5F7nr3DV,64.0,2014,0.527,0.591,6.0,0.0,0.461,123.167,256760
w6LyHGLw5zOPUppk,07jKFoinBb4SnZX13aMJBl,40.0,2013,0.277,0.953,10.0,0.0,0.229,174.97299999999996,330013
WknFGL7B9g7s4ZeF,1FM1jjQQzMBqgSqksVU4LY,28.0,2018,0.5760000000000001,0.662,11.0,0.0,0.338,92.006,205573
wnnZ5S0ZsAaiAExc,1ODA4mZMaoBzT1TbPBW8B1,49.0,2012,0.423,0.183,9.0,1.0,0.142,122.341,233013
wr21nOj1LERwvzk6,2s4yoDIOX58Kyel5GYC5mt,32.0,2005,0.18,0.99,10.0,0.0,0.336,172.012,186227
X4OlWoSBbZA4ro6i,5wBzp92NzcwfeunyqeRODo,30.0,2000,0.478,0.325,9.0,0.0,0.271,124.669,473400
X80tzYn7MVYPX3eM,1yOYKD98EpiQKdGdZ4j7j4,31.0,2018,0.634,0.5,10.0,1.0,0.575,100.691,203236
Xkx0xgFLulIXnmnJ,6WuqJLVZcyJklg7lIozAO8,50.0,2004,0.462,0.905,0.0,0.0,0.253,122.925,302360
XzCwQF8yeSbmtH4g,3QsSFO5OExx5agW53TzFK8,6.0,2003,0.652,0.917,0.0,0.0,0.478,120.992,418907
z3nzbxeFT01WOXf8,01cGujYWGF7JchJLSgf6Ta,40.0,1990,0.257,0.989,10.0,0.0,0.385,109.267,225360
z6HI4NAVpZggGi1p,5DLPez2wUlpWgLOgeZ4a9A,32.0,2008,0.4270000000000001,0.924,2.0,1.0,0.227,102.427,260707
ZBOUo2hoZEvpshgr,5ZBZSepIdSYbPaTSZLvZBU,46.0,2001,0.4370000000000001,0.525,8.0,1.0,0.478,152.469,196682
zI9DjkxOs5x1EhJQ,26zkmF12NR0aXZiNbziIFt,9.0,2011,0.5720000000000001,0.416,0.0,0.0,0.152,108.036,231013
